ReleaseNumber|DrugId|DosageStructureCode
27|28100487965|49
27|28100493671|34
27|28100493671|35
27|28100493671|5
27|28100493671|6
27|28100493671|63
27|28100493671|64
27|28100520967|16
27|28100520967|65
27|28100520967|1
27|28100520967|8
27|28100521967|66
27|28100521967|67
27|28100526567|16
27|28100526567|17
27|28100528167|16
27|28100528167|1
27|28100533567|11
27|28100533567|16
27|28100533567|1
27|28100533567|8
27|28100533567|58
27|28100552969|68
27|28100552969|69
27|28100552969|70
27|28100552969|71
27|28100559669|72
27|28100559669|73
27|28100559669|74
27|28100559669|75
27|28100565569|76
27|28100573870|69
27|28100573870|77
27|28100573870|78
27|28100573870|79
27|28100573870|77
27|28100575570|5
27|28100575570|6
27|28100575570|80
27|28100575570|5
27|28100575570|7
27|28100575670|16
27|28100575670|6
27|28100579370|16
27|28100579370|6
27|28100579370|1
27|28100582370|5
27|28100582370|20
27|28100582370|6
27|28100583070|16
27|28100583070|6
27|28100583070|1
27|28100583770|39
27|28100583870|81
27|28100590071|82
27|28100590071|83
27|28100590071|84
27|28100590071|85
27|28100594371|11
27|28100594371|16
27|28100594371|6
27|28100594371|18
27|28100594371|1
27|28100594371|8
27|28100599671|39
27|28100599671|59
27|28100606772|86
27|28100606772|87
27|28100606772|88
27|28100606772|89
27|28100606772|86
27|28100607472|1
27|28100607472|8
27|28100607472|19
27|28100608672|90
27|28100608672|91
27|28100609972|1
27|28100609972|8
27|28100611372|11
27|28100611372|16
27|28100611372|17
27|28100611372|1
27|28100611372|8
27|28100611372|19
27|28100612972|5
27|28100612972|6
27|28100612972|18
27|28100612972|55
27|28100612972|7
27|28100615172|40
27|28100615172|39
27|28100615172|59
27|28100615172|60
27|28100615372|92
27|28100615372|93
27|28100615372|13
27|28100615372|94
27|28100616672|1
27|28100616672|8
27|28100620972|11
27|28100620972|16
27|28100620972|65
27|28100620972|1
27|28100622372|1
27|28100622372|8
27|28100622372|58
27|28100622372|19
27|28100627873|13
27|28100627873|15
27|28100627873|92
27|28100627873|95
27|28100627873|96
27|28100631373|16
27|28100631373|1
27|28100631373|8
27|28100631373|19
27|28100631373|97
27|28100631373|98
27|28100631773|1
27|28100631773|8
27|28100631773|19
27|28100632573|39
27|28100632573|59
27|28100632673|39
27|28100632673|59
27|28100636073|99
27|28100636073|100
27|28100636073|101
27|28100636073|63
27|28100636073|102
27|28100636073|64
27|28100636073|103
27|28100636073|10
27|28100636473|104
27|28100636473|105
27|28100636473|106
27|28100636473|107
27|28100636573|40
27|28100636573|39
27|28100636573|59
27|28100636573|60
27|28100636673|68
27|28100636673|68
27|28100636673|82
27|28100636673|82
27|28100636673|83
27|28100636673|83
27|28100636673|85
27|28100636773|68
27|28100636773|85
27|28100636773|69
27|28100636773|68
27|28100636773|69
27|28100636773|82
27|28100636773|82
27|28100636773|85
27|28100643374|11
27|28100643374|16
27|28100643374|6
27|28100643374|17
27|28100643374|1
27|28100643374|108
27|28100643374|109
27|28100643574|16
27|28100643574|17
27|28100643574|1
27|28100643574|108
27|28100643574|109
27|28100645874|8
27|28100645874|58
27|28100645974|1
27|28100649974|39
27|28100649974|59
27|28100651774|16
27|28100651774|6
27|28100651774|17
27|28100651774|18
27|28100651774|1
27|28100651874|16
27|28100651874|6
27|28100651874|17
27|28100651874|18
27|28100651874|1
27|28100656374|16
27|28100656374|6
27|28100656374|18
27|28100656374|1
27|28100656474|110
27|28100656474|111
27|28100656474|6
27|28100656474|63
27|28100656474|64
27|28100656574|16
27|28100656574|6
27|28100656574|18
27|28100656574|1
27|28100665575|112
27|28100665775|113
