ReleaseNumber|DrugId|DosageStructureCode
35|28100636073|93
35|28100636073|94
35|28100636073|95
35|28100636073|63
35|28100636073|96
35|28100636073|64
35|28100636073|97
35|28100636073|10
35|28100636673|66
35|28100636673|66
35|28100636673|80
35|28100636673|80
35|28100636673|81
35|28100636673|81
35|28100636673|83
35|28100636773|66
35|28100636773|83
35|28100636773|67
35|28100636773|66
35|28100636773|67
35|28100636773|80
35|28100636773|80
35|28100636773|83
35|28100643374|11
35|28100643374|16
35|28100643374|6
35|28100643374|17
35|28100643374|1
35|28100643374|98
35|28100643374|99
35|28100643574|16
35|28100643574|17
35|28100643574|1
35|28100643574|98
35|28100643574|99
35|28100645874|8
35|28100645874|58
35|28100645974|1
35|28100649974|39
35|28100649974|59
35|28100651774|16
35|28100651774|6
35|28100651774|17
35|28100651774|18
35|28100651774|1
35|28100651874|16
35|28100651874|6
35|28100651874|17
35|28100651874|18
35|28100651874|1
35|28100656474|100
35|28100656474|101
35|28100656474|6
35|28100656474|63
35|28100656474|64
35|28100665575|102
35|28100665775|103
35|28100665775|104
35|28100665775|105
35|28100665775|106
35|28100669775|6
35|28100669775|18
35|28100669975|6
35|28100676975|107
35|28100676975|108
35|28100688875|39
35|28100690976|5
35|28100690976|6
35|28100690976|18
35|28100691076|6
35|28100691076|18
35|28100695476|16
35|28100695476|1
35|28100695576|16
35|28100695576|1
35|28100695576|37
35|28100695576|38
35|28100695676|107
35|28100695676|37
35|28100695676|38
35|28100717276|29
35|28100717276|30
35|28100717276|31
35|28100722776|37
35|28100722776|107
35|28100723576|16
35|28100723576|65
35|28100723576|6
35|28100723576|1
35|28100723676|16
35|28100723676|6
35|28100726176|94
35|28100726176|63
35|28100726176|64
35|28100734576|11
35|28100734576|16
35|28100734576|1
35|28100734576|8
35|28100744776|16
35|28100744776|6
35|28100744776|18
35|28100744776|1
35|28100750576|11
35|28100787776|109
35|28100902476|35
35|28100902476|63
35|28100902976|110
35|28100902976|111
35|28100902976|13
35|28100902976|112
35|28100903176|16
35|28100903176|6
35|28100903676|16
35|28100903676|6
35|28100903676|1
35|28100903776|16
35|28100903776|6
35|28100903776|1
35|28100907676|113
35|28100907676|114
35|28100907676|103
35|28100907676|104
35|28100907676|115
35|28100913176|1
35|28100913176|8
35|28100913877|116
35|28100913877|79
35|28100913877|117
35|28100918177|118
35|28100918177|31
35|28100918277|118
35|28100918277|31
35|28100919477|107
35|28100919477|108
35|28100920077|67
35|28100920077|75
35|28100920477|11
35|28100920477|16
35|28100920477|6
35|28100920477|18
35|28100924177|49
35|28100924177|49
35|28100924377|119
35|28100924377|120
35|28100924377|121
35|28100924377|122
35|28100924377|123
35|28100925773|11
35|28100925773|1
35|28100925773|8
35|28100926477|66
35|28100926477|124
35|28100927977|40
35|28100927977|39
35|28100927977|59
35|28100927977|60
35|28100948277|11
35|28100948277|16
35|28100948277|6
35|28100948277|8
35|28100948277|58
35|28100950170|16
35|28100950170|6
35|28100950170|1
35|28100950565|16
35|28100950565|6
35|28100950565|1
35|28100965465|40
35|28100965465|39
35|28100965465|59
35|28100965465|60
35|28100966278|65
35|28100966278|1
35|28100970678|65
